,index,Unnamed: 0,layer,#filters,size,stride,padding,input,c (input),output,c (output),time (sec),freq,predicted,diff
0,0,0,conv,32,3.0,1.0,1.0,448.0,3.0,448.0,32.0,0.767809,1000,0.6291901434078339,0.1386188565921661
1,2,2,conv,64,3.0,1.0,1.0,224.0,32.0,224.0,64.0,1.464385,1000,1.334169593059547,0.13021540694045308
2,4,4,conv,128,3.0,1.0,1.0,112.0,64.0,112.0,128.0,1.077104,1000,0.9884369684943541,0.08866703150564592
3,5,5,conv,64,1.0,1.0,0.0,112.0,128.0,112.0,64.0,0.191137,1000,0.2113361231522323,0.020199123152232296
4,6,6,conv,128,3.0,1.0,1.0,112.0,64.0,112.0,128.0,1.068897,1000,0.9884369684943541,0.08046003150564585
5,8,8,conv,256,3.0,1.0,1.0,56.0,128.0,56.0,256.0,0.8805700000000001,1000,0.7675437293963738,0.11302627060362624
6,9,9,conv,128,1.0,1.0,0.0,56.0,256.0,56.0,128.0,0.132695,1000,0.16405317233378952,0.031358172333789514
7,10,10,conv,256,3.0,1.0,1.0,56.0,128.0,56.0,256.0,0.8814540000000001,1000,0.7675437293963738,0.11391027060362624
8,12,12,conv,512,3.0,1.0,1.0,28.0,256.0,28.0,512.0,0.81729,1000,0.7081726041561851,0.10911739584381486
9,13,13,conv,256,1.0,1.0,0.0,28.0,512.0,28.0,256.0,0.108569,1000,0.14371267992028772,0.03514367992028772
10,14,14,conv,512,3.0,1.0,1.0,28.0,256.0,28.0,512.0,0.817451,1000,0.7081726041561851,0.10927839584381493
11,15,15,conv,256,1.0,1.0,0.0,28.0,512.0,28.0,256.0,0.108634,1000,0.14371267992028772,0.03507867992028772
12,16,16,conv,512,3.0,1.0,1.0,28.0,256.0,28.0,512.0,0.81798,1000,0.7081726041561851,0.10980739584381494
13,18,18,conv,1024,3.0,1.0,1.0,14.0,512.0,14.0,1024.0,0.925359,1000,0.7057170614031658,0.21964193859683423
14,19,19,conv,512,1.0,1.0,0.0,14.0,1024.0,14.0,512.0,0.11204800000000001,1000,0.1407679240756934,0.028719924075693404
15,20,20,conv,1024,3.0,1.0,1.0,14.0,512.0,14.0,1024.0,0.925256,1000,0.7057170614031658,0.21953893859683415
16,21,21,conv,512,1.0,1.0,0.0,14.0,1024.0,14.0,512.0,0.11190399999999999,1000,0.1407679240756934,0.028863924075693423
17,22,22,conv,1024,3.0,1.0,1.0,14.0,512.0,14.0,1024.0,0.9253129999999999,1000,0.7057170614031658,0.21959593859683413
18,23,23,conv,1024,3.0,1.0,1.0,14.0,1024.0,14.0,1024.0,1.859916,1000,1.1974922653784907,0.6624237346215092
19,24,24,conv,1024,3.0,1.0,1.0,14.0,1024.0,14.0,1024.0,1.845435,1000,1.1974922653784907,0.6479427346215092
20,26,26,conv,64,1.0,1.0,0.0,28.0,512.0,28.0,64.0,0.040141,1000,0.04802668739441818,0.007885687394418174
21,29,29,conv,1024,3.0,1.0,1.0,14.0,1280.0,14.0,1024.0,2.2946779999999998,1000,1.4645447550093589,0.8301332449906409
22,30,30,conv,425,1.0,1.0,0.0,14.0,1024.0,14.0,425.0,0.093304,1000,0.11756544953950789,0.024261449539507887
