,Degree,Alpha,accuracy,#features,#non-zero features
0,1.0,0.0,78.3513966733586,7.0,7.0
1,1.0,0.1,77.58544108618909,7.0,7.0
2,1.0,0.2,75.53350601836527,7.0,7.0
3,1.0,0.3,72.46911146339808,7.0,6.0
4,1.0,0.4,68.4949916411596,7.0,6.0
5,1.0,0.5,63.4014972732172,7.0,6.0
6,1.0,0.6,57.18862835957135,7.0,6.0
7,1.0,0.7,51.00579592629819,7.0,5.0
8,1.0,0.8,44.01015694929368,7.0,5.0
9,1.0,0.9,36.09305780820351,7.0,5.0
10,1.0,1.0,27.2544985030301,7.0,5.0
11,2.0,0.0,91.20132065111774,35.0,35.0
12,2.0,0.1,87.68333555639228,35.0,12.0
13,2.0,0.2,78.52944888345993,35.0,10.0
14,2.0,0.3,72.46911146339808,35.0,6.0
15,2.0,0.4,68.4949916411596,35.0,6.0
16,2.0,0.5,63.40149375702722,35.0,6.0
17,2.0,0.6,56.509742844628676,35.0,7.0
18,2.0,0.7,49.48800343713846,35.0,6.0
19,2.0,0.8,43.493067348623306,35.0,5.0
20,2.0,0.9,36.85570191411319,35.0,5.0
21,2.0,1.0,28.387347555423737,35.0,6.0
22,3.0,0.0,95.96766245226632,119.0,119.0
23,3.0,0.1,87.64660586203055,119.0,33.0
24,3.0,0.2,78.31472005091562,119.0,30.0
25,3.0,0.3,71.61720589284594,119.0,26.0
26,3.0,0.4,64.50576804891001,119.0,25.0
27,3.0,0.5,53.85037302333862,119.0,19.0
28,3.0,0.6,44.30733250625715,119.0,15.0
29,3.0,0.7,37.89154945359123,119.0,9.0
30,3.0,0.8,36.19605576326376,119.0,5.0
31,3.0,0.9,35.50102337946578,119.0,5.0
32,3.0,1.0,34.729764354226525,119.0,5.0
33,4.0,0.0,97.13172392919589,329.0,329.0
34,4.0,0.1,87.4769837655997,329.0,56.0
35,4.0,0.2,81.27984408191271,329.0,49.0
36,4.0,0.3,73.29506045305419,329.0,36.0
37,4.0,0.4,64.59210985004627,329.0,33.0
38,4.0,0.5,53.77104013232407,329.0,29.0
39,4.0,0.6,43.73488904883616,329.0,26.0
40,4.0,0.7,38.31743463902973,329.0,22.0
41,4.0,0.8,34.734608740060715,329.0,23.0
42,4.0,0.9,32.393492829768824,329.0,19.0
43,4.0,1.0,31.355888621816796,329.0,13.0
44,5.0,0.0,97.48361366950859,791.0,791.0
45,5.0,0.1,87.42542939533409,791.0,70.0
46,5.0,0.2,81.51753465181012,791.0,57.0
47,5.0,0.3,72.69725226833876,791.0,55.0
48,5.0,0.4,62.87564583953586,791.0,55.0
49,5.0,0.5,52.534909318827246,791.0,51.0
50,5.0,0.6,45.300191554808,791.0,46.0
51,5.0,0.7,42.124073570296545,791.0,42.0
52,5.0,0.8,39.3678726857629,791.0,37.0
53,5.0,0.9,37.41530515840482,791.0,35.0
54,5.0,1.0,35.75415174153357,791.0,32.0
55,6.0,0.0,97.60797176336665,1715.0,1715.0
56,6.0,0.1,87.8522800816296,1715.0,113.0
57,6.0,0.2,80.7507596297816,1715.0,92.0
58,6.0,0.3,72.06578645023954,1715.0,84.0
59,6.0,0.4,62.6055575265682,1715.0,79.0
60,6.0,0.5,55.75676340069713,1715.0,63.0
61,6.0,0.6,52.166537674251956,1715.0,60.0
62,6.0,0.7,48.59585589343885,1715.0,53.0
63,6.0,0.8,45.65932465948003,1715.0,49.0
64,6.0,0.9,42.86520551017864,1715.0,51.0
65,6.0,1.0,40.31638978758203,1715.0,46.0
